,Date,NumRides
484,3/19/2014,1161
485,3/19/2015,1363
486,3/19/2016,308
487,3/2/2014,208
488,3/2/2015,1209
489,3/2/2016,1177
490,3/20/2014,1127
491,3/20/2015,1206
492,3/20/2016,185
493,3/21/2014,1010
494,3/21/2015,375
495,3/21/2016,912
496,3/22/2014,422
497,3/22/2015,280
498,3/22/2016,1144
499,3/23/2014,373
500,3/23/2015,1247
501,3/23/2016,1215
502,3/24/2014,1012
503,3/24/2015,1340
504,3/24/2016,1210
505,3/25/2014,927
506,3/25/2015,1409
507,3/25/2016,952
508,3/26/2014,716
509,3/26/2015,1348
510,3/26/2016,365
511,3/27/2014,1071
512,3/27/2015,1264
513,3/27/2016,222
514,3/28/2014,974
515,3/28/2015,512
516,3/28/2016,1094
517,3/29/2014,117
518,3/29/2015,362
519,3/29/2016,1161
520,3/3/2014,746
521,3/3/2015,1299
522,3/3/2016,989
523,3/30/2014,391
524,3/30/2015,1403
525,3/30/2016,1134
526,3/31/2014,697
527,3/31/2015,1354
528,3/31/2016,1099
529,3/4/2014,944
530,3/4/2015,1243
531,3/4/2016,764
532,3/5/2014,979
533,3/5/2015,1225
534,3/5/2016,68
535,3/6/2014,1015
536,3/6/2015,1245
537,3/6/2016,163
538,3/7/2014,988
539,3/7/2015,396
540,3/7/2016,987
541,3/8/2014,468
542,3/8/2015,394
543,3/8/2016,1122
544,3/9/2014,548
545,3/9/2015,1045
546,3/9/2016,955
547,4/1/2014,520
548,4/1/2015,1379
549,4/1/2016,967
550,4/10/2014,1033
551,4/10/2015,1246
552,4/10/2016,197
553,4/11/2014,1013
554,4/11/2015,407
555,4/11/2016,1146
556,4/12/2014,463
557,4/12/2015,303
558,4/12/2016,1181
559,4/13/2014,412
560,4/13/2015,1337
561,4/13/2016,1162
562,4/14/2014,1046
563,4/14/2015,1331
564,4/14/2016,1106
565,4/15/2014,1163
566,4/15/2015,1359
567,4/15/2016,1070
568,4/16/2014,1223
569,4/16/2015,1359
570,4/16/2016,363
571,4/17/2014,1145
572,4/17/2015,1255
573,4/17/2016,252
574,4/18/2014,988
575,4/18/2015,413
576,4/18/2016,1179
577,4/19/2014,421
578,4/19/2015,325
579,4/19/2016,1325
580,4/2/2014,987
581,4/2/2015,1395
582,4/2/2016,299
583,4/20/2014,376
584,4/20/2015,1299
585,4/20/2016,1325
586,4/21/2014,1049
587,4/21/2015,1371
588,4/21/2016,1183
589,4/22/2014,1066
590,4/22/2015,1376
591,4/22/2016,941
592,4/23/2014,1089
593,4/23/2015,1368
594,4/23/2016,294
595,4/24/2014,1018
596,4/24/2015,1171
597,4/24/2016,281
598,4/25/2014,599
599,4/25/2015,405
600,4/25/2016,1167
601,4/26/2014,383
602,4/26/2015,291
603,4/26/2016,1249
604,4/27/2014,354
605,4/27/2015,1233
606,4/27/2016,1162
607,4/28/2014,1177
608,4/28/2015,1375
609,4/28/2016,1221
610,4/29/2014,1227
611,4/29/2015,1314
612,4/29/2016,1090
613,4/3/2014,997
614,4/3/2015,1155
615,4/3/2016,259
616,4/30/2014,1222
617,4/30/2015,1295
618,4/30/2016,270
619,4/4/2014,844
620,4/4/2015,342
621,4/4/2016,1175
622,4/5/2014,518
623,4/5/2015,216
624,4/5/2016,1220
625,4/6/2014,378
626,4/6/2015,1281
627,4/6/2016,1200
628,4/7/2014,1123
629,4/7/2015,1097
630,4/7/2016,1231
631,4/8/2014,1268
632,4/8/2015,1344
633,4/8/2016,986
634,4/9/2014,1119
635,4/9/2015,1321
636,4/9/2016,111
637,5/1/2014,1185
638,5/1/2015,1282
639,5/1/2016,243
640,5/10/2014,437
641,5/10/2015,267
642,5/10/2016,1307
643,5/11/2014,336
644,5/11/2015,1297
645,5/11/2016,1273
646,5/12/2014,1180
647,5/12/2015,1305
648,5/12/2016,1497
649,5/13/2014,1235
650,5/13/2015,1336
651,5/13/2016,1167
652,5/14/2014,1182
653,5/14/2015,1343
654,5/14/2016,393
655,5/15/2014,1207
656,5/15/2015,1168
657,5/15/2016,318
658,5/16/2014,1142
659,5/16/2015,394
660,5/16/2016,1209
661,5/17/2014,485
662,5/17/2015,328
663,5/17/2016,1350
664,5/18/2014,418
665,5/18/2015,1279
666,5/18/2016,1222
667,5/19/2014,1111
668,5/19/2015,1381
669,5/19/2016,1235
670,5/2/2014,1037
671,5/2/2015,351
672,5/2/2016,1197
673,5/20/2014,1123
674,5/20/2015,1246
675,5/20/2016,1103
676,5/21/2014,1103
677,5/21/2015,1355
678,5/21/2016,309
679,5/22/2014,1216
680,5/22/2015,1129
681,5/22/2016,295
682,5/23/2014,1092
683,5/23/2015,392
684,5/23/2016,1126
685,5/24/2014,432
686,5/24/2015,333
687,5/24/2016,1226
688,5/25/2014,557
689,5/25/2015,324
690,5/25/2016,1240
691,5/26/2014,450
692,5/26/2015,1219
693,5/26/2016,1201
694,5/27/2014,1204
695,5/27/2015,1260
696,5/27/2016,988
697,5/28/2014,1278
698,5/28/2015,1288
699,5/28/2016,380
700,5/29/2014,1209
701,5/29/2015,1203
702,5/29/2016,300
703,5/3/2014,387
704,5/3/2015,346
705,5/3/2016,1242
706,5/30/2014,1074
707,5/30/2015,435
708,5/30/2016,266
709,5/31/2014,449
710,5/31/2015,266
711,5/31/2016,1232
712,5/4/2014,417
713,5/4/2015,1296
714,5/4/2016,1239
715,5/5/2014,1156
716,5/5/2015,1369
717,5/5/2016,1219
718,5/6/2014,1129
719,5/6/2015,1374
720,5/6/2016,925
721,5/7/2014,1173
722,5/7/2015,1360
723,5/7/2016,183
724,5/8/2014,1052
725,5/8/2015,1246
726,5/8/2016,225
727,5/9/2014,1046
728,5/9/2015,368
729,5/9/2016,1212
730,6/1/2014,468
731,6/1/2015,1224
732,6/1/2016,1171
733,6/10/2014,1256
734,6/10/2015,956
735,6/10/2016,1139
736,6/11/2014,1280
737,6/11/2015,1437
738,6/11/2016,321
739,6/12/2014,1175
740,6/12/2015,1276
741,6/12/2016,323
742,6/13/2014,1163
743,6/13/2015,430
744,6/13/2016,1313
745,6/14/2014,440
746,6/14/2015,269
747,6/14/2016,1295
748,6/15/2014,390
749,6/15/2015,1327
750,6/15/2016,1249
751,6/16/2014,1269
752,6/16/2015,1409
753,6/16/2016,1271
754,6/17/2014,1216
755,6/17/2015,1353
756,6/17/2016,1111
757,6/18/2014,1259
758,6/18/2015,1352
759,6/18/2016,337
760,6/19/2014,1237
761,6/19/2015,1243
762,6/19/2016,282
763,6/2/2014,1291
764,6/2/2015,1390
765,6/2/2016,1262
766,6/20/2014,1151
767,6/20/2015,411
768,6/20/2016,1268
769,6/21/2014,361
770,6/21/2015,298
771,6/21/2016,1333
772,6/22/2014,460
773,6/22/2015,1295
774,6/22/2016,1245
775,6/23/2014,1188
776,6/23/2015,1392
777,6/23/2016,1253
778,6/24/2014,1334
779,6/24/2015,1335
780,6/24/2016,1124
781,6/25/2014,1225
782,6/25/2015,1391
783,6/25/2016,375
784,6/26/2014,1294
785,6/26/2015,1319
786,6/26/2016,288
787,6/27/2014,1137
788,6/27/2015,466
789,6/27/2016,1282
790,6/28/2014,495
791,6/28/2015,407
792,6/28/2016,1288
793,6/29/2014,414
794,6/29/2015,1237
795,6/29/2016,1185
796,6/3/2014,1324
797,6/3/2015,1348
798,6/3/2016,1145
799,6/30/2014,1248
800,6/30/2015,1281
801,6/30/2016,1180
802,6/4/2014,1298
803,6/4/2015,1414
804,6/4/2016,353
805,6/5/2014,1219
806,6/5/2015,1270
807,6/5/2016,258
808,6/6/2014,1161
809,6/6/2015,339
810,6/6/2016,1330
811,6/7/2014,437
812,6/7/2015,385
813,6/7/2016,1283
814,6/8/2014,498
815,6/8/2015,1270
816,6/8/2016,1255
817,6/9/2014,1294
818,6/9/2015,1383
819,6/9/2016,1264
820,7/1/2014,1211
821,7/1/2015,1205
822,7/1/2016,968
823,7/10/2014,1224
824,7/10/2015,1244
825,7/10/2016,331
826,7/11/2014,1076
827,7/11/2015,495
828,7/11/2016,1168
829,7/12/2014,445
830,7/12/2015,379
831,7/12/2016,1188
832,7/13/2014,408
833,7/13/2015,1345
834,7/13/2016,1210
835,7/14/2014,1220
836,7/14/2015,1358
837,7/14/2016,1212
838,7/15/2014,1300
839,7/15/2015,1384
840,7/15/2016,1046
841,7/16/2014,1311
842,7/16/2015,1382
843,7/16/2016,271
844,7/17/2014,1299
845,7/17/2015,1249
846,7/17/2016,196
847,7/18/2014,1160
848,7/18/2015,368
849,7/18/2016,1151
850,7/19/2014,424
851,7/19/2015,402
852,7/19/2016,1155
853,7/2/2014,1245
854,7/2/2015,1019
855,7/2/2016,303
856,7/20/2014,402
857,7/20/2015,1386
858,7/20/2016,1247
859,7/21/2014,1224
860,7/21/2015,1349
861,7/21/2016,1196
862,7/22/2014,1326
863,7/22/2015,1307
864,7/22/2016,1023
865,7/23/2014,1366
866,7/23/2015,1320
