,Date,NumRides,TotalMinutes
310,12/2/2014,491,4229
311,12/2/2015,1096,10665
312,12/20/2013,867,12520
313,12/20/2014,305,6176
314,12/20/2015,51,959
315,12/21/2013,354,10050
316,12/21/2014,246,11192
317,12/21/2015,341,3435
318,12/22/2013,307,15005
319,12/22/2014,1021,15323
320,12/22/2015,539,5108
321,12/23/2013,651,12270
322,12/23/2014,806,14913
323,12/23/2015,563,10166
324,12/24/2013,336,13460
325,12/24/2014,308,4575
326,12/24/2015,124,1964
327,12/25/2013,360,20167
328,12/25/2014,150,8360
329,12/25/2015,106,5216
330,12/26/2013,422,11255
331,12/26/2014,329,13609
332,12/26/2015,128,4343
333,12/27/2013,425,8473
334,12/27/2014,231,10110
335,12/27/2015,146,4101
336,12/28/2013,403,16229
337,12/28/2014,297,12716
338,12/28/2015,475,5055
339,12/29/2013,318,15640
340,12/29/2014,627,9674
341,12/29/2015,502,9299
342,12/3/2013,917,9320
343,12/3/2014,804,7534
344,12/3/2015,898,8773
345,12/30/2013,605,14693
346,12/30/2014,486,6836
347,12/30/2015,319,4549
348,12/31/2013,505,18929
349,12/31/2014,386,9497
350,12/31/2015,264,3700
351,12/4/2013,992,11137
352,12/4/2014,1125,32565
353,12/4/2015,992,9866
354,12/5/2013,936,12462
355,12/5/2014,980,11352
356,12/5/2015,213,3304
357,12/6/2013,727,13420
358,12/6/2014,419,297519
359,12/6/2015,105,2234
360,12/7/2013,277,4321
361,12/7/2014,296,10173
362,12/7/2015,1027,10760
363,12/8/2013,274,3868
364,12/8/2014,1363,16940
365,12/8/2015,1109,12073
366,12/9/2013,807,7854
367,12/9/2014,1305,14287
368,12/9/2015,1028,10152
369,2/1/2014,383,14243
370,2/1/2015,251,6072
371,2/1/2016,1013,11656
372,2/10/2014,803,9944
373,2/10/2015,1368,14191
374,2/10/2016,1167,12413
375,2/11/2014,939,10595
376,2/11/2015,1343,13366
377,2/11/2016,1176,12717
378,2/12/2014,1015,13901
379,2/12/2015,1305,12860
380,2/12/2016,1063,13639
381,2/13/2014,937,11467
382,2/13/2015,1295,22668
383,2/13/2016,353,12218
384,2/14/2014,958,19899
385,2/14/2015,563,30390
386,2/14/2016,341,15495
387,2/15/2014,415,13900
388,2/15/2015,375,24062
389,2/15/2016,463,10399
390,2/16/2014,415,12780
391,2/16/2015,543,10611
392,2/16/2016,1155,11574
393,2/17/2014,464,12082
394,2/17/2015,1279,15955
395,2/17/2016,973,9254
396,2/18/2014,1013,15367
397,2/18/2015,1238,17556
398,2/18/2016,1036,10648
399,2/19/2014,1012,12875
400,2/19/2015,1172,14083
401,2/19/2016,904,8983
402,2/2/2014,128,3396
403,2/2/2015,1312,14340
404,2/2/2016,865,8617
405,2/20/2014,974,14591
406,2/20/2015,1101,15672
407,2/20/2016,307,8701
408,2/21/2014,937,14832
409,2/21/2015,333,12329
410,2/21/2016,235,5522
411,2/22/2014,466,20897
412,2/22/2015,289,14698
413,2/22/2016,1187,17561
414,2/23/2014,317,12398
415,2/23/2015,1280,13711
416,2/23/2016,1182,15578
417,2/24/2014,1011,18481
418,2/24/2015,1169,12799
419,2/24/2016,1163,12343
420,2/25/2014,1090,16385
421,2/25/2015,1209,13087
422,2/25/2016,1176,12425
423,2/26/2014,392,4100
424,2/26/2015,1242,20462
425,2/26/2016,1034,14093
426,2/27/2014,872,12928
427,2/27/2015,1092,25634
428,2/27/2016,337,9827
429,2/28/2014,538,11067
430,2/28/2015,330,7089
431,2/28/2016,242,7052
432,2/29/2016,1152,13668
433,2/3/2014,962,11028
434,2/3/2015,1363,16333
435,2/3/2016,1042,11647
436,2/4/2014,994,17951
437,2/4/2015,1364,13367
438,2/4/2016,1062,14661
439,2/5/2014,862,10829
440,2/5/2015,1272,12272
441,2/5/2016,948,11890
442,2/6/2014,486,7460
443,2/6/2015,608,5362
444,2/6/2016,410,11701
445,2/7/2014,466,3991
446,2/7/2015,318,7116
447,2/7/2016,270,7342
448,2/8/2014,94,3323
449,2/8/2015,141,27123
450,2/8/2016,1160,14169
451,2/9/2014,81,1538
452,2/9/2015,1246,13995
453,2/9/2016,1144,12880
454,3/1/2014,318,12049
455,3/1/2015,338,11596
456,3/1/2016,1256,12804
457,3/10/2014,980,15332
458,3/10/2015,1184,14512
459,3/10/2016,691,6660
460,3/11/2014,1112,16613
461,3/11/2015,1214,16116
462,3/11/2016,520,6463
463,3/12/2014,1044,15789
464,3/12/2015,1328,17201
465,3/12/2016,176,4908
466,3/13/2014,1133,14213
467,3/13/2015,1208,16994
468,3/13/2016,50,542
469,3/14/2014,1022,12913
470,3/14/2015,479,29915
471,3/14/2016,1119,13335
472,3/15/2014,504,28129
473,3/15/2015,377,11936
474,3/15/2016,1206,14876
475,3/16/2014,445,18247
476,3/16/2015,1295,13840
477,3/16/2016,1189,15285
478,3/17/2014,1002,16553
479,3/17/2015,1365,16591
480,3/17/2016,1114,18554
481,3/18/2014,1139,13448
482,3/18/2015,1319,16860
483,3/18/2016,1011,15121
484,3/19/2014,1161,14982
485,3/19/2015,1363,16180
486,3/19/2016,308,8906
487,3/2/2014,208,8552
488,3/2/2015,1209,11824
489,3/2/2016,1177,13369
490,3/20/2014,1127,13196
491,3/20/2015,1206,19523
492,3/20/2016,185,4896
493,3/21/2014,1010,25252
494,3/21/2015,375,10710
495,3/21/2016,912,10889
496,3/22/2014,422,22048
497,3/22/2015,280,7904
498,3/22/2016,1144,14151
499,3/23/2014,373,20677
500,3/23/2015,1247,16635
501,3/23/2016,1215,14414
502,3/24/2014,1012,15732
503,3/24/2015,1340,17228
504,3/24/2016,1210,18186
505,3/25/2014,927,10520
506,3/25/2015,1409,19891
507,3/25/2016,952,17772
508,3/26/2014,716,7607
509,3/26/2015,1348,18018
510,3/26/2016,365,8640
511,3/27/2014,1071,17012
512,3/27/2015,1264,16863
513,3/27/2016,222,8843
514,3/28/2014,974,14835
515,3/28/2015,512,24989
516,3/28/2016,1094,12767
517,3/29/2014,117,6913
518,3/29/2015,362,10103
519,3/29/2016,1161,14573
520,3/3/2014,746,8161
521,3/3/2015,1299,17074
522,3/3/2016,989,10396
523,3/30/2014,391,15243
524,3/30/2015,1403,18016
525,3/30/2016,1134,11876
526,3/31/2014,697,8427
527,3/31/2015,1354,17713
528,3/31/2016,1099,12088
529,3/4/2014,944,12648
530,3/4/2015,1243,13312
531,3/4/2016,764,7854
532,3/5/2014,979,15055
533,3/5/2015,1225,13890
534,3/5/2016,68,673
535,3/6/2014,1015,17025
536,3/6/2015,1245,19186
537,3/6/2016,163,3845
538,3/7/2014,988,13996
539,3/7/2015,396,16683
540,3/7/2016,987,11448
541,3/8/2014,468,19300
542,3/8/2015,394,12186
543,3/8/2016,1122,11571
544,3/9/2014,548,17415
545,3/9/2015,1045,14699
546,3/9/2016,955,9102
547,4/1/2014,520,5423
548,4/1/2015,1379,17717
549,4/1/2016,967,11302
550,4/10/2014,1033,16212
551,4/10/2015,1246,23414
552,4/10/2016,197,5705
553,4/11/2014,1013,16796
554,4/11/2015,407,16876
555,4/11/2016,1146,11082
556,4/12/2014,463,13934
557,4/12/2015,303,8760
558,4/12/2016,1181,11066
559,4/13/2014,412,13856
560,4/13/2015,1337,14539
561,4/13/2016,1162,14169
562,4/14/2014,1046,13356
563,4/14/2015,1331,16479
564,4/14/2016,1106,14522
565,4/15/2014,1163,15394
566,4/15/2015,1359,16994
567,4/15/2016,1070,14856
568,4/16/2014,1223,15732
569,4/16/2015,1359,18358
570,4/16/2016,363,14162
571,4/17/2014,1145,17975
572,4/17/2015,1255,16768
573,4/17/2016,252,10338
574,4/18/2014,988,33851
575,4/18/2015,413,16543
576,4/18/2016,1179,17380
577,4/19/2014,421,17531
578,4/19/2015,325,12748
579,4/19/2016,1325,15917
580,4/2/2014,987,10776
581,4/2/2015,1395,20812
582,4/2/2016,299,12888
583,4/20/2014,376,22493
584,4/20/2015,1299,11816
585,4/20/2016,1325,16573
586,4/21/2014,1049,12810
587,4/21/2015,1371,14139
588,4/21/2016,1183,11748
589,4/22/2014,1066,13251
590,4/22/2015,1376,15402
591,4/22/2016,941,13575
592,4/23/2014,1089,14135
593,4/23/2015,1368,17663
594,4/23/2016,294,6956
595,4/24/2014,1018,13480
596,4/24/2015,1171,11944
597,4/24/2016,281,9177
598,4/25/2014,599,9586
599,4/25/2015,405,13880
600,4/25/2016,1167,11187
601,4/26/2014,383,16080
602,4/26/2015,291,11723
603,4/26/2016,1249,14082
604,4/27/2014,354,13333
605,4/27/2015,1233,15826
606,4/27/2016,1162,10611
607,4/28/2014,1177,15310
608,4/28/2015,1375,16417
609,4/28/2016,1221,13286
610,4/29/2014,1227,16315
611,4/29/2015,1314,26037
612,4/29/2016,1090,14262
613,4/3/2014,997,12348
614,4/3/2015,1155,17376
615,4/3/2016,259,11443
616,4/30/2014,1222,12846
617,4/30/2015,1295,15209
618,4/30/2016,270,7194
619,4/4/2014,844,11501
620,4/4/2015,342,11305
621,4/4/2016,1175,16666
622,4/5/2014,518,24356
623,4/5/2015,216,9569
624,4/5/2016,1220,17150
625,4/6/2014,378,39303
626,4/6/2015,1281,15237
627,4/6/2016,1200,14712
628,4/7/2014,1123,16927
629,4/7/2015,1097,12612
630,4/7/2016,1231,14310
631,4/8/2014,1268,15586
632,4/8/2015,1344,15004
633,4/8/2016,986,12558
634,4/9/2014,1119,13732
635,4/9/2015,1321,16016
636,4/9/2016,111,1422
637,5/1/2014,1185,16378
638,5/1/2015,1282,18523
639,5/1/2016,243,8772
640,5/10/2014,437,16798
641,5/10/2015,267,10105
642,5/10/2016,1307,14967
643,5/11/2014,336,12086
644,5/11/2015,1297,21042
645,5/11/2016,1273,15661
646,5/12/2014,1180,13674
647,5/12/2015,1305,15556
648,5/12/2016,1497,18596
649,5/13/2014,1235,16294
650,5/13/2015,1336,15811
651,5/13/2016,1167,15010
652,5/14/2014,1182,25084
653,5/14/2015,1343,20587
654,5/14/2016,393,12698
655,5/15/2014,1207,16745
656,5/15/2015,1168,21345
657,5/15/2016,318,7780
658,5/16/2014,1142,25725
659,5/16/2015,394,13936
660,5/16/2016,1209,13912
661,5/17/2014,485,27645
662,5/17/2015,328,12662
663,5/17/2016,1350,15662
664,5/18/2014,418,16000
665,5/18/2015,1279,16857
666,5/18/2016,1222,13519
667,5/19/2014,1111,15578
