,Unnamed: 0,Date,NumRides,TotalMinutes,MinCategorize
269,269,11/7/2015,356,10032,10000 to 14999
270,270,11/8/2013,1172,22707,15000 to 24999
271,271,11/8/2014,512,17515,15000 to 24999
272,272,11/8/2015,191,2785,2000 to 3999
273,273,11/9/2013,634,25006,25000 to 49999
274,274,11/9/2014,377,13254,10000 to 14999
275,275,11/9/2015,806,8079,7500 to 9999
276,276,12/1/2013,329,11717,10000 to 14999
277,277,12/1/2014,1181,14570,10000 to 14999
278,278,12/1/2015,1117,10394,10000 to 14999
279,279,12/10/2013,878,9448,7500 to 9999
280,280,12/10/2014,1279,13573,10000 to 14999
281,281,12/10/2015,898,8177,7500 to 9999
282,282,12/11/2013,903,9869,7500 to 9999
283,283,12/11/2014,107,2185,2000 to 3999
284,284,12/11/2015,893,10097,10000 to 14999
285,285,12/12/2013,966,12738,10000 to 14999
286,286,12/12/2014,622,22231,15000 to 24999
287,287,12/12/2015,228,6165,4000 to 7499
288,288,12/13/2013,962,12788,10000 to 14999
289,289,12/13/2014,368,11762,10000 to 14999
290,290,12/13/2015,77,2254,2000 to 3999
291,291,12/14/2013,392,8882,7500 to 9999
292,292,12/14/2014,264,18783,15000 to 24999
293,293,12/14/2015,999,9768,7500 to 9999
294,294,12/15/2013,319,9216,7500 to 9999
295,295,12/15/2014,644,18431,15000 to 24999
296,296,12/15/2015,1050,10446,10000 to 14999
297,297,12/16/2013,946,16228,15000 to 24999
298,298,12/16/2014,770,25853,25000 to 49999
299,299,12/16/2015,1066,13594,10000 to 14999
300,300,12/17/2013,975,10504,10000 to 14999
301,301,12/17/2014,809,22160,15000 to 24999
302,302,12/17/2015,990,11512,10000 to 14999
303,303,12/18/2013,928,23966,15000 to 24999
304,304,12/18/2014,1126,11972,10000 to 14999
305,305,12/18/2015,801,8027,7500 to 9999
306,306,12/19/2013,935,10352,10000 to 14999
307,307,12/19/2014,532,6411,4000 to 7499
308,308,12/19/2015,245,4696,4000 to 7499
309,309,12/2/2013,878,8933,7500 to 9999
310,310,12/2/2014,491,4229,4000 to 7499
311,311,12/2/2015,1096,10665,10000 to 14999
312,312,12/20/2013,867,12520,10000 to 14999
313,313,12/20/2014,305,6176,4000 to 7499
314,314,12/20/2015,51,959,500 to 1999
315,315,12/21/2013,354,10050,10000 to 14999
316,316,12/21/2014,246,11192,10000 to 14999
317,317,12/21/2015,341,3435,2000 to 3999
318,318,12/22/2013,307,15005,15000 to 24999
319,319,12/22/2014,1021,15323,15000 to 24999
320,320,12/22/2015,539,5108,4000 to 7499
321,321,12/23/2013,651,12270,10000 to 14999
322,322,12/23/2014,806,14913,10000 to 14999
323,323,12/23/2015,563,10166,10000 to 14999
324,324,12/24/2013,336,13460,10000 to 14999
325,325,12/24/2014,308,4575,4000 to 7499
326,326,12/24/2015,124,1964,500 to 1999
327,327,12/25/2013,360,20167,15000 to 24999
328,328,12/25/2014,150,8360,7500 to 9999
329,329,12/25/2015,106,5216,4000 to 7499
330,330,12/26/2013,422,11255,10000 to 14999
331,331,12/26/2014,329,13609,10000 to 14999
332,332,12/26/2015,128,4343,4000 to 7499
333,333,12/27/2013,425,8473,7500 to 9999
334,334,12/27/2014,231,10110,10000 to 14999
335,335,12/27/2015,146,4101,4000 to 7499
336,336,12/28/2013,403,16229,15000 to 24999
337,337,12/28/2014,297,12716,10000 to 14999
338,338,12/28/2015,475,5055,4000 to 7499
339,339,12/29/2013,318,15640,15000 to 24999
340,340,12/29/2014,627,9674,7500 to 9999
341,341,12/29/2015,502,9299,7500 to 9999
342,342,12/3/2013,917,9320,7500 to 9999
343,343,12/3/2014,804,7534,7500 to 9999
344,344,12/3/2015,898,8773,7500 to 9999
345,345,12/30/2013,605,14693,10000 to 14999
346,346,12/30/2014,486,6836,4000 to 7499
347,347,12/30/2015,319,4549,4000 to 7499
348,348,12/31/2013,505,18929,15000 to 24999
349,349,12/31/2014,386,9497,7500 to 9999
350,350,12/31/2015,264,3700,2000 to 3999
351,351,12/4/2013,992,11137,10000 to 14999
352,352,12/4/2014,1125,32565,25000 to 49999
353,353,12/4/2015,992,9866,7500 to 9999
354,354,12/5/2013,936,12462,10000 to 14999
355,355,12/5/2014,980,11352,10000 to 14999
356,356,12/5/2015,213,3304,2000 to 3999
357,357,12/6/2013,727,13420,10000 to 14999
358,358,12/6/2014,419,297519,100000+
359,359,12/6/2015,105,2234,2000 to 3999
360,360,12/7/2013,277,4321,4000 to 7499
361,361,12/7/2014,296,10173,10000 to 14999
362,362,12/7/2015,1027,10760,10000 to 14999
363,363,12/8/2013,274,3868,2000 to 3999
